"","sup_email","Correct","rank"
"1","aamer~er",0.791666666666667,21
"2","alexa~payne7015",0.875,5
"3","alexs~",0.833333333333333,9
"4","algal~ ",0.875,5
"5","alici~harmon00",0.708333333333333,36
"6","augus~ren",0.916666666666667,2
"7","austi~an",0.791666666666667,21
"8","barnh~",0.791666666666667,21
"9","bartj~nharris",0.75,30
"10","basta~w",0.833333333333333,9
"11","bjean~",0.666666666666667,39
"12","blibu~ ",0.791666666666667,21
"13","brwin~ ",0.583333333333333,41
"14","carol~hen",0.833333333333333,9
"15","chand~ner",0.708333333333333,36
"16","cmack~876",0.916666666666667,2
"17","emily~ephenson",0.75,30
"18","emily",0.791666666666667,21
"19","emma.~los",0.833333333333333,9
"20","gandh~thari",0.5,44
"21","higgi~",0.583333333333333,41
"22","jade.~per",0.916666666666667,2
"23","jasmi~derwood",0.833333333333333,9
"24","jason~ ",0.75,30
"25","jesse~ff",0.791666666666667,21
"26","josie~ey1",0.75,30
"27","katie~gan619",0.833333333333333,9
"28","keena",0.833333333333333,9
"29","libas~   ",0.75,30
"30","lo955~ ",0.791666666666667,21
"31","lpp27",0.833333333333333,9
"32","mahka~  ",0.875,5
"33","mayro~",0.833333333333333,9
"34","mikaw~ein",0.791666666666667,21
"35","miket~psu",0.833333333333333,9
"36","mjsch~ski",0.791666666666667,21
"37","nmcal~r92",0.583333333333333,41
"38","olivi~27",0.75,30
"39","paul.~bett",0.625,40
"40","seanm~",0.958333333333333,1
"41","sheae~  ",0.708333333333333,36
"42","smyet~",0.833333333333333,9
"43","tappa~ker7",0.875,5
"44","tomfl~c",0.833333333333333,9
